delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
1/2/2026,4:00,N,HB_PAN,-0.98
1/2/2026,4:00,N,HB_SOUTH,9.39
1/2/2026,4:00,N,HB_WEST,6.58
1/2/2026,4:00,N,LZ_AEN,9.41
1/2/2026,4:00,N,LZ_CPS,9.32
1/2/2026,4:00,N,LZ_HOUSTON,10.46
1/2/2026,4:00,N,LZ_LCRA,9.32
1/2/2026,4:00,N,LZ_NORTH,11.27
1/2/2026,4:00,N,LZ_RAYBN,15.34
1/2/2026,4:00,N,LZ_SOUTH,9.63
1/2/2026,4:00,N,LZ_WEST,16.37
1/2/2026,5:00,N,HB_BUSAVG,14.3
1/2/2026,5:00,N,HB_HOUSTON,13.87
1/2/2026,5:00,N,HB_HUBAVG,13.3
1/2/2026,5:00,N,HB_NORTH,16.01
1/2/2026,5:00,N,HB_PAN,1.43
1/2/2026,5:00,N,HB_SOUTH,12.43
1/2/2026,5:00,N,HB_WEST,10.89
1/2/2026,5:00,N,LZ_AEN,12.53
1/2/2026,5:00,N,LZ_CPS,12.18
1/2/2026,5:00,N,LZ_HOUSTON,13.78
1/2/2026,5:00,N,LZ_LCRA,12.45
1/2/2026,5:00,N,LZ_NORTH,14.29
1/2/2026,5:00,N,LZ_RAYBN,17.66
1/2/2026,5:00,N,LZ_SOUTH,12.7
1/2/2026,5:00,N,LZ_WEST,20.08
1/2/2026,6:00,N,HB_BUSAVG,17.28
1/2/2026,6:00,N,HB_HOUSTON,16.86
1/2/2026,6:00,N,HB_HUBAVG,16.07
1/2/2026,6:00,N,HB_NORTH,19.22
1/2/2026,6:00,N,HB_PAN,2.82
1/2/2026,6:00,N,HB_SOUTH,15.54
1/2/2026,6:00,N,HB_WEST,12.66
1/2/2026,6:00,N,LZ_AEN,15.57
1/2/2026,6:00,N,LZ_CPS,15.31
1/2/2026,6:00,N,LZ_HOUSTON,16.77
1/2/2026,6:00,N,LZ_LCRA,15.48
1/2/2026,6:00,N,LZ_NORTH,17.35
1/2/2026,6:00,N,LZ_RAYBN,20.96
1/2/2026,6:00,N,LZ_SOUTH,15.82
1/2/2026,6:00,N,LZ_WEST,20.71
1/2/2026,7:00,N,HB_BUSAVG,19.49
1/2/2026,7:00,N,HB_HOUSTON,19.06
1/2/2026,7:00,N,HB_HUBAVG,18.17
1/2/2026,7:00,N,HB_NORTH,21.49
1/2/2026,7:00,N,HB_PAN,3.22
1/2/2026,7:00,N,HB_SOUTH,18
1/2/2026,7:00,N,HB_WEST,14.14
1/2/2026,7:00,N,LZ_AEN,17.93
1/2/2026,7:00,N,LZ_CPS,17.75
1/2/2026,7:00,N,LZ_HOUSTON,18.99
